program_id,source_url,program_name_suffix,city,state,data_last_updated,accredited_training_length,required_training_length,affiliated_us_government,raw_ng_state_json,specialty_title,first_year_positions,interviews_conducted_last_year,avg_hours_on_duty_y1,pct_do,pct_img,pct_usmd,program_best_described_as,website,special_features_text,accepting_applications_2025_2026,accepting_applications_2026_2027,program_start_dates,participates_in_eras,visa_statuses_accepted,program_director_email,program_director_phone,contact_email,contact_phone
1403521292,https://freida.ama-assn.org/program/1403521292,NYU Grossman School of Medicine Program,New York,NY,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,95,500,70,2.0,2.3,95.8,University-based,http://www.med.nyu.edu/medicine/education/residency-programs,All residents get a book fund and a conference fund for education-related expenses. The book fund replenishes every academic year. We also provide a global health elective fund.,True,True,['July'],True,['J-1 through ECFMG'],,,,
1402411169,https://freida.ama-assn.org/program/1402411169,Mass General Brigham/Massachusetts General Hospital Program,Boston,MA,2025-03-28T12:36:00+00:00,3,3,Not affiliated with US Government,,Internal Medicine,76,500,64,0.0,1.6,98.2,University-based,https://www.massgeneral.org/medicine/internal-medicine/education/residency,"Our program has a long-standing commitment to outstanding clinical training and the development of physician leaders in Medicine. Our dedicated faculty prepare you to become the best physician you want to be. Our goal is to help you reach your long-term career goals through a diverse range of clinical rotations and ambulatory experiences, using a unique team-based learning model, individualized mentoring program and a novel Pathways rotation that highlights critical thinking in medicine.",False,True,"['June', 'July']",True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1403521301,https://freida.ama-assn.org/program/1403521301,Icahn School of Medicine at Mount Sinai/Morningside/West Program,New York,NY,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,75,502,60,13.1,64.1,22.8,Community-based university affiliated,http://icahn.mssm.edu/education/residencies-fellowships/list/,Robust clinical exposure at two hospitals in Manhattan. Exceptional oncologic experience at Memorial Sloan Kettering Cancer Center. Three community based outpatient clinical training. Integrated with the Icahn School of Medicine at Mount Sinai.,False,True,['July'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1402421172,https://freida.ama-assn.org/program/1402421172,Mass General Brigham/Brigham and Women's Hospital Program,Boston,MA,2025-03-28T12:36:00+00:00,3,3,Not affiliated with US Government,,Internal Medicine,70,450,70,0.0,2.9,97.1,University-based,https://imacademics.brighamandwomens.org/,,False,True,"['June', 'July']",True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1404121380,https://freida.ama-assn.org/program/1404121380,University of Pennsylvania Health System Program,Philadelphia,PA,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,70,362,65,0.2,1.4,98.4,University-based,http://www.uphs.upenn.edu/internal-medicine-residency/,"We are delighted to welcome trainees from dozens of medical schools spanning the nation and globe to our program. Our program features broad-based clinical training at varied inpatient and outpatient venues. Residents typically pursue independent scholarship, and enjoy a variety of wellness-themed activities. On annual surveys, residents highlight the spirit of camaraderie and level of departmental support as highlights of the program.",True,True,['June'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1402621208,https://freida.ama-assn.org/program/1402621208,Mayo Clinic College of Medicine and Science (Rochester) Program,Rochester,MN,2025-03-28T12:36:00+00:00,3,3,Not affiliated with US Government,,Internal Medicine,69,475,65,0.4,7.3,91.9,Other,http://www.mayo.edu/msgme/,"Mayo Clinic established one of the world's first formalized physician training programs in 1915; the internal medicine residency has a long track record of transforming great medical students into outstanding physicians, educators, and scientists: 100% ABIM board pass rate. Robust primary care experience with a diverse local community and underserved population. Greater than 4 peer-reviewed pubs/resident;(national avg 0.6) Excellent fellowship match (90% match into top 3 choices).",False,True,"['June', 'July']",True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1405421434,https://freida.ama-assn.org/program/1405421434,University of Washington Program,Seattle,WA,2025-03-28T11:20:01+00:00,3,3,Not affiliated with US Government,,Internal Medicine,67,300,58,2.4,3.6,94.0,University-based,https://uwmedres.uw.edu,"Global health certification program, Housestaff Quality & Safety Council, wellness service, Network of Under-represented Residents & Fellows, safe ride home, free confidential counseling, learning specialist. Trainees receive an allowance in the sum of $8500, intended to offset the cost of living in Seattle. The allowance is included in the total compensation schedule which is paid out in each pay check throughout the academic year.",False,True,['June'],True,['J-1 through ECFMG'],,,,
1404821419,https://freida.ama-assn.org/program/1404821419,University of Texas Southwestern Medical Center Program,Dallas,TX,2025-03-28T08:08:20+00:00,3,3,Not affiliated with US Government,,Internal Medicine,66,529,55,0.0,4.2,95.8,University-based,https://www.utsouthwestern.edu/education/medical-school/departments/internal-medicine/education-trai,,False,True,['July'],True,['J-1 through ECFMG'],,,,
1400821085,https://freida.ama-assn.org/program/1400821085,Yale-New Haven Medical Center Program,New Haven,CT,2025-03-28T11:20:01+00:00,3,3,Not affiliated with US Government,,Internal Medicine,66,578,65,0.0,15.1,84.0,University-based,https://medicine.yale.edu/internal-medicine/education/residency/traditional/,"We offer distinctions in education, global health, investigation, QI, and anti-racism. We have a 4+2+2 block schedule with ambulatory immersion experiences and exposure to specialty clinics. Residents can participate in our International Health Elective, Research in Residency Program, and Writer's Workshop. Qualified individuals may apply to our physician scientist track with guaranteed acceptance into fellowship assuming they meet professional competencies by the end of PGY2 year.",False,True,"['June', 'July']",True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
1401221105,https://freida.ama-assn.org/program/1401221105,Emory University School of Medicine Program,Atlanta,GA,2025-03-28T11:20:01+00:00,3,3,Not affiliated with US Government,,Internal Medicine,65,450,60,1.2,1.4,97.3,University-based,https://med.emory.edu/departments/medicine/education/residency-program/index.html,,True,True,['July'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']",,,,
